GEO ID,County,State Abbreviation,State,Year,County PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55+ PrEP-to-Need Ratio
8055,Huerfano County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8057,Jackson County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8059,Jefferson County,CO,Colorado,2018,11.23,-1,-1,7.29,10.21,-1,11,-1
8061,Kiowa County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8063,Kit Carson County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8065,Lake County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8067,La Plata County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8069,Larimer County,CO,Colorado,2018,11.67,11.08,-1,-1,-1,-1,-1,-1
8071,Las Animas County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8073,Lincoln County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
